air={time=31/08/2023 21:56:00, station=1, temperature=26.4, moisture=98.3, light=0, total_rainfall=3176.4, rainfall=0, wind_direction=193, pm25=1.4, pm10=5.9, co=2, nox=0, so2=0}, water={time=31/08/2023 21:56:00, station=2, ph=8.5, DO=3.8, temperature=27.7, salinity=116.2}, earth={time=31/08/2023 21:56:00, station=3, temperature=28.7, moisture=27.2, ph=10.9, salinity=7.5, water_root=0, water_leaf=0, water_level=1, voltage=16.0}
air={time=31/08/2023 20:34:00, station=1, temperature=26.3, moisture=98.5, light=0, total_rainfall=3176.4, rainfall=0, wind_direction=170, pm25=1.0, pm10=5.4, co=2, nox=0, so2=0}, water={time=31/08/2023 20:34:00, station=2, ph=8.5, DO=3.8, temperature=27.8, salinity=116.1}, earth={time=31/08/2023 20:34:00, station=3, temperature=28.8, moisture=27.2, ph=10.3, salinity=7.1, water_root=0, water_leaf=0, water_level=1, voltage=15.9}
air={time=31/08/2023 15:28:00, station=1, temperature=28.0, moisture=90.8, light=429, total_rainfall=3176.4, rainfall=0, wind_direction=162, pm25=0.5, pm10=0.5, co=3, nox=0, so2=0}, water={time=31/08/2023 15:28:00, station=2, ph=8.3, DO=3.8, temperature=28.4, salinity=115.8}, earth={time=31/08/2023 15:28:00, station=3, temperature=29.7, moisture=27.5, ph=10.8, salinity=7.4, water_root=0, water_leaf=0, water_level=1, voltage=15.9}
air={time=31/08/2023 15:09:00, station=1, temperature=28.7, moisture=89.3, light=592, total_rainfall=3176.4, rainfall=0, wind_direction=150, pm25=0.5, pm10=1.0, co=3, nox=0, so2=0}, water={time=31/08/2023 15:09:00, station=2, ph=8.3, DO=3.7, temperature=28.5, salinity=115.9}, earth={time=31/08/2023 15:09:00, station=3, temperature=29.8, moisture=27.5, ph=10.8, salinity=7.4, water_root=0, water_leaf=0, water_level=1, voltage=15.9}
air={time=31/08/2023 10:39:00, station=1, temperature=25.9, moisture=96.6, light=310, total_rainfall=3176.4, rainfall=0, wind_direction=107, pm25=0.5, pm10=1.1, co=5, nox=0, so2=0}, water={time=31/08/2023 10:39:00, station=2, ph=8.4, DO=3.8, temperature=29.1, salinity=115.4}, earth={time=31/08/2023 10:39:00, station=3, temperature=26.2, moisture=28.2, ph=13.0, salinity=8.5, water_root=0, water_leaf=0, water_level=1, voltage=15.9}
air={time=31/08/2023 10:30:00, station=1, temperature=30.0, moisture=86.7, light=130, total_rainfall=3176.4, rainfall=0, wind_direction=180, pm25=1.1, pm10=2.8, co=4, nox=0, so2=0}, water={time=31/08/2023 10:30:00, station=2, ph=8.4, DO=3.7, temperature=29.2, salinity=115.7}, earth={time=31/08/2023 10:30:00, station=3, temperature=26.2, moisture=28.1, ph=13.4, salinity=8.7, water_root=0, water_leaf=0, water_level=1, voltage=15.9}
air={time=31/08/2023 10:05:00, station=1, temperature=36.4, moisture=71.4, light=1067, total_rainfall=3176.4, rainfall=0, wind_direction=96, pm25=1.0, pm10=2.1, co=4, nox=0, so2=0}, water={time=31/08/2023 10:05:00, station=2, ph=8.4, DO=3.7, temperature=29.0, salinity=115.4}, earth={time=31/08/2023 10:05:00, station=3, temperature=26.2, moisture=28.0, ph=13.0, salinity=8.5, water_root=0, water_leaf=0, water_level=1, voltage=15.9}
air={time=31/08/2023 02:55:00, station=1, temperature=26.9, moisture=98.9, light=0, total_rainfall=3176.4, rainfall=0, wind_direction=72, pm25=0.7, pm10=0.7, co=2, nox=0, so2=0}, water={time=31/08/2023 02:55:00, station=2, ph=8.5, DO=3.8, temperature=28.1, salinity=116.4}, earth={time=31/08/2023 02:55:00, station=3, temperature=26.2, moisture=27.5, ph=13.2, salinity=8.6, water_root=0, water_leaf=0, water_level=1, voltage=16.0}
air={time=31/08/2023 02:34:00, station=1, temperature=26.9, moisture=98.7, light=0, total_rainfall=3176.4, rainfall=0, wind_direction=98, pm25=1.2, pm10=1.4, co=2, nox=0, so2=0}, water={time=31/08/2023 02:34:00, station=2, ph=8.5, DO=3.8, temperature=28.2, salinity=116.3}, earth={time=31/08/2023 02:34:00, station=3, temperature=26.2, moisture=27.5, ph=13.0, salinity=8.5, water_root=0, water_leaf=0, water_level=1, voltage=15.9}
air={time=30/08/2023 19:23:00, station=1, temperature=27.3, moisture=95.7, light=0, total_rainfall=3176.4, rainfall=0, wind_direction=167, pm25=1.1, pm10=2.4, co=2, nox=0, so2=0}, water={time=30/08/2023 19:23:00, station=2, ph=8.4, DO=3.7, temperature=29.0, salinity=115.3}, earth={time=30/08/2023 19:23:00, station=3, temperature=24.1, moisture=28.3, ph=13.2, salinity=8.6, water_root=0, water_leaf=0, water_level=1, voltage=15.9}
air={time=30/08/2023 18:48:00, station=1, temperature=27.5, moisture=95.0, light=0, total_rainfall=3176.4, rainfall=0, wind_direction=71, pm25=1.3, pm10=3.0, co=2, nox=0, so2=0}, water={time=30/08/2023 18:48:00, station=2, ph=8.4, DO=3.7, temperature=29.1, salinity=115.2}, earth={time=30/08/2023 18:48:00, station=3, temperature=26.3, moisture=27.7, ph=12.9, salinity=8.5, water_root=0, water_leaf=0, water_level=1, voltage=15.9}
